Название,Зарплата,Опыт,Режим работы,Категория,min_salary,max_salary
Сотрудница / сотрудник на производство (производство подарочных коробок),"от 45 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Другое,45000.0,45000.0
Сотрудница / сотрудник на производство (производство подарочных коробок),"от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,45000.0,45000.0
Техник-универсал (КРК Мегаполис),"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,50000.0,50000.0
Продавец-консультант трк Куба,"от 48 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,48000.0,48000.0
Продавец-консультант в ТРК Родник,"от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,45000.0,45000.0
Продавец-консультант в трк Кольцо,"от 55 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,55000.0,55000.0
Руководитель технического отдела,"от 93 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Автомобильная сфера,93000.0,93000.0
Менеджер по развитию малого бизнеса,"от 89 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,89000.0,89000.0
Грузчик-комплектовщик на склад,"40 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера доставки,40000.0,40000.0
Консультант в Т-Банк,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Оператор call-центра,"от 68 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,68000.0,68000.0
Оператор (банкротство),"70 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Поддержка клиентов,70000.0,200000.0
Консультант в Т-Банке,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
"Менеджер по продажам модульных изделий (дома, бани)","от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Менеджер по работе с клиентами (входящие заявки и сопровождение),"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
Менеджер по работе с клиентами,"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,60000.0,60000.0
"Оператор-кассир АЗС, г. Челябинск (Троицкий тракт, Усадьба)","от 55 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,55000.0,55000.0
Программист 1С (Разработчик 1С),"от 140 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,IT,140000.0,140000.0
Продавец-консультант,"40 000 – 90 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,90000.0
Оператор контактного центра на дому,"45 000 – 55 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,45000.0,55000.0
Специалист технической поддержки (без продаж),"47 000 – 54 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Продажи,47000.0,54000.0
Менеджер по выявлению потребности,"от 50 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,50000.0,50000.0
Мастер-Начальник Производства,"150 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,150000.0,200000.0
Администратор в офис,"25 000 – 30 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,25000.0,30000.0
Маляр по дереву,"120 000 – 180 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,120000.0,180000.0
Маляр по металлу,"80 000 – 110 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,80000.0,110000.0
Офис-менеджер,"50 000 – 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,70000.0
Кладовщик (теплое помещение),"100 000 – 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Продажи,100000.0,130000.0
Специалист в клиентскую поддержку,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,40000.0,40000.0
Офис-менеджер,"45 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,45000.0,45000.0
"Кассир в ТЦ ""Алое Поле""","от 50 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,50500.0,50500.0
"Продавец в ТЦ ""Родник""","от 49 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,49000.0,49000.0
"Кассир в ТЦ ""Родник""","от 50 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,50500.0,50500.0
Региональный менеджер по продажам,"до 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
"Продавец-кассир (Галамарт, ТЦ КОСМОС)","50 000 – 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,50000.0,60000.0
Ассистент менеджера по работе с клиентами,"от 60 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,60000.0,60000.0
Секретарь,"от 45 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,45000.0,45000.0
Главный инженер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,100000.0,100000.0
Специалист по печати 3D-стикеров/печатник/оператор заливочной машины,"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Поддержка клиентов,60000.0,60000.0
Сиделка,"45 000 – 90 000 ₽ за месяц, на руки",Без опыта,Вахта,Медицина,45000.0,90000.0
Ведущий инженер ПТО,"200 000 – 230 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,200000.0,230000.0
Специалист по работе с просроченной задолженностью,"60 000 – 120 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,60000.0,120000.0
Региональный представитель HYUNDAI Electric с опытом в электротехническом оборудовании (удаленно),"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Другое,200000.0,200000.0
Грузчик-комплектовщик (склад г. Челябинск),"104 100 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера доставки,104100.0,104100.0
Грузчик-комплектовщик (склад г. Копейск),"от 121 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера доставки,121000.0,121000.0
Специалист отдела продаж,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Продажи,100000.0,100000.0
Начальник смены ГЭС,"90 000 – 95 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,90000.0,95000.0
Менеджер по продажам (без поиска),"от 50 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,50000.0,50000.0
Уборщица/Уборщик помещений,"40 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Сфера обслуживания,40000.0,40000.0
Оператор call-центра (без поиска клиентов),"35 000 – 50 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,35000.0,50000.0
Администратор салона красоты,"от 45 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,45000.0,45000.0
Бухгалтер,"67 000 – 77 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,67000.0,77000.0
Менеджер по ВЭД,"от 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Менеджмент,90000.0,90000.0
Бармен,"45 000 – 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера обслуживания,45000.0,60000.0
Комплектовщик обуви на склад,"150 000 – 300 000 ₽ за месяц, на руки",Без опыта,Вахта,Сфера доставки,150000.0,300000.0
"Менеджер по продажам (маркетплейсы, розница, опт, ВЭД)","70 000 – 150 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Менеджмент,70000.0,150000.0
Специалист по выкладке товара,"от 63 580 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,63580.0,63580.0
Party girl (Пати Герл)/Party boy (Пати Бой),"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,75000.0,75000.0
Артистка в шоу-балет,"от 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,100000.0,100000.0
Мастер цеха,"от 90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,90000.0,90000.0
Юрист (банкротство) / помощник арбитражного управляющего,"70 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Юриспруденция,70000.0,120000.0
Старший смены на производство гель-лаков,"55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,55000.0,55000.0
Дизайнер / специалист по проектам,"от 69 210 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,69210.0,69210.0
Курьер на велосипеде компании Лавка,"до 6 000 ₽ за смену, на руки",Без опыта,На месте работодателя,Сфера доставки,6000.0,6000.0
Менеджер по логистике,"85 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,85000.0,200000.0
Хостес шоу-рума (Братьев Кашириных),"35 000 – 56 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,35000.0,56000.0
Руководитель клиентского сервиса в автомобильный салон,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Поддержка клиентов,70000.0,70000.0
Повар в столовую,"от 50 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера обслуживания,50000.0,50000.0
Сборщик-заготовщик корпоративных обедов,"40 000 – 55 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,40000.0,55000.0
Производитель работ (начальник участка) ЭМР,"150 000 – 235 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Автомобильная сфера,150000.0,235000.0
Водитель погрузочной техники,"от 58 800 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Автомобильная сфера,58800.0,58800.0
Техник по эксплуатации,"от 57 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,57000.0,57000.0
