Название,Зарплата,Опыт,Режим работы,Категория,min_salary,max_salary
Менеджер по персоналу,"от 65 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,65000.0,65000.0
Менеджер по персоналу,"от 65 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,65000.0,65000.0
Менеджер по транспортной логистике,"75 000 – 180 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,75000.0,180000.0
"Специалист по продаже рекламы, Тольятти","60 000 – 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,60000.0,100000.0
Оператор call-центра,"от 68 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,68000.0,68000.0
Консультант в Т-Банке,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
"Специалист по охране труда, пожарной безопасности и экологии","от 90 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Другое,90000.0,90000.0
Мастер - приемщик электронного лома,"70 000 – 90 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Другое,70000.0,90000.0
Специалист в клиентскую поддержку,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,40000.0,40000.0
Менеджер по закупкам и снабжению,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
Продавец-консультант (ТЦ Русь на Волге),"50 000 – 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,50000.0,70000.0
Менеджер по продажам,"от 100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,100000.0,100000.0
Специалист по взысканию installment loans с 1 по 30 день (без опыта),"до 98 184 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,98184.0,98184.0
"Автослесарь, автомеханик","от 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Автомобильная сфера,80000.0,80000.0
Администратор медицинского центра,"45 000 – 50 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,45000.0,50000.0
Уборщик производственных и служебных помещений,"36 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера обслуживания,36300.0,36300.0
Эксперт активных продаж,"62 400 – 65 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,62400.0,65500.0
Администратор на СТО,"50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,50000.0
"Оператор линии на автозавод (Тула, Калуга)","от 180 000 ₽ за вахту, на руки",Без опыта,Вахта,Поддержка клиентов,180000.0,180000.0
Менеджер проектных продаж,"70 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,70000.0,100000.0
Слесарь - инструментальщик,"от 150 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,150000.0,150000.0
Менеджер по оптовым продажам,"60 000 – 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,60000.0,80000.0
Региональный менеджер по продажам POLARIS,"от 70 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Менеджмент,70000.0,70000.0
Раскройщик,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,50000.0,50000.0
Оператор производственной линии,"от 170 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Вахта,Поддержка клиентов,170000.0,170000.0
Главный бухгалтер,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,80000.0,120000.0
Электромонтер по обслуживанию и ремонту электрооборудования,"от 57 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,57500.0,57500.0
Региональный менеджер по продажам,"от 60 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,60000.0,60000.0
Руководитель проекта (Витаминизированное питание),"от 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Автомобильная сфера,150000.0,150000.0
Главный бухгалтер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Финансы/бухгалтерия,100000.0,100000.0
"Контролер ОТК (г. Дзержинск, Нижегородской область)","143 000 – 171 600 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Другое,143000.0,171600.0
"Сборщик спортивного инвентаря (Революционная, 42)","от 47 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,47500.0,47500.0
"Управляющий магазином (Коммунистическая, 18а)","от 100 500 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,100500.0,100500.0
Оператор контактного центра / Менеджер поддержки пользователей,"70 000 – 80 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Менеджмент,70000.0,80000.0
Заместитель управляющего магазином (Автозаводский район),"от 75 400 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,75400.0,75400.0
Специалист поддержки горячей линии,"от 43 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,43500.0,43500.0
"Продавец-кассир (Механизаторов, 20а)","от 52 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,52000.0,52000.0
Токарь - универсал,"от 200 000 ₽ за месяц, на руки",Опыт 1-3 года,Вахта,Промышленность,200000.0,200000.0
Продавец-кассир магазина одежды CLEVER (Парк Хаус),"40 000 – 50 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,40000.0,50000.0
Продавец-консультант магазина одежды CLEVER/Парк Хаус,"от 50 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,50000.0,50000.0
Бухгалтер по расчету заработной платы,"от 75 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,75000.0,75000.0
Менеджер по продажам (без поиска клиентов),"80 000 – 170 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Менеджмент,80000.0,170000.0
Продавец-консультант бездымных систем,"от 66 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,66000.0,66000.0
Водитель на автовоз (категория Е),"100 000 – 160 000 ₽ за вахту, до вычета налогов",Опыт 1-3 года,Вахта,Автомобильная сфера,100000.0,160000.0
