title,salary,experience,work_format,city,min_salary,max_salary,avg_salary
Инженер технического надзора (каркасные дома),"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,Можно удалённо,Санкт-Петербург,100000.0,100000.0,100000.0
Инженер технического надзора (каркасные дома),"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-кассир,"60 000 – 90 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,90000.0,75000.0
Бариста в сеть бабл ти кафе,"60 000 – 85 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,85000.0,72500.0
Товаровед на склад Пятерочки и Перекрестка,"80 000 – 82 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,80000.0,82000.0,81000.0
Менеджер по продажам в сфере промышленной роботизации и автоматизации,"от 150 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,150000.0,150000.0
Заправщик АЗС,"65 000 – 78 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,65000.0,78000.0,71500.0
Продавец-кассир АЗС,"67 000 – 91 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,67000.0,91000.0,79000.0
Менеджер по маркетингу и PR,"от 65 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,65000.0,65000.0,65000.0
Технолог / Специалист по производству индустриальных ЛКМ,"150 000 – 250 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Санкт-Петербург,150000.0,250000.0,200000.0
Казначей (ВЭД),"90 000 – 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,90000.0,100000.0,95000.0
Оператор call-центра / Менеджер по работе с клиентами (без продаж),"45 000 – 55 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,45000.0,55000.0,50000.0
Кладовщик-наборщик,"75 000 – 100 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,75000.0,100000.0,87500.0
Инструктор,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,70000.0,70000.0,70000.0
Специалист отдела рекламы,"от 89 800 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,89800.0,89800.0,89800.0
Менеджер по продажам,"140 000 – 230 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,140000.0,230000.0,185000.0
Консультант по продуктам банка,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Менеджер по персоналу,"от 60 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,60000.0,60000.0,60000.0
Главный инженер проектов (ГИП),"120 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,120000.0,200000.0,160000.0
Продавец-кассир (м. Василеостровская),"65 000 – 82 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,65000.0,82000.0,73500.0
Главный бухгалтер,"130 000 – 150 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Санкт-Петербург,130000.0,150000.0,140000.0
Менеджер по продажам (запись на вводный урок),"60 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,60000.0,100000.0,80000.0
Специалист по качеству и пищевой безопасности,"от 103 500 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,103500.0,103500.0,103500.0
Старший ревизор,"от 104 550 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,104550.0,104550.0,104550.0
Администратор,"от 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,80000.0,80000.0,80000.0
Администратор / Менеджер в кафе,"от 65 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,65000.0,65000.0,65000.0
Менеджер по продажам услуг консалтинга,"150 000 – 270 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,270000.0,210000.0
Специалист по разметке контекстной рекламы,"от 16 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,16000.0,16000.0,16000.0
Менеджер по продажам B2B,"150 000 – 300 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,300000.0,225000.0
Продавец-консультант (м. Парнас / м. пр-кт Просвещения),"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Консультант в Т-Банк,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Кладовщик (м. Проспект Просвещения),"от 73 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,73000.0,73000.0,73000.0
Комплектовщик / кладовщик,"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,75000.0,75000.0,75000.0
Менеджер по заказам с сайта,"46 000 – 60 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,46000.0,60000.0,53000.0
Консультант T-Банка,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Слесарь-сварщик,"от 125 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,125000.0,125000.0,125000.0
Медицинская сестра/Медицинский брат/ Ассистент врача-стоматолога (ст.м. Пионерская),"от 88 500 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,88500.0,88500.0,88500.0
"Менеджер по продажам / Sales manager (ENG, Swedish, Finnish)","130 000 – 500 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,130000.0,500000.0,315000.0
Официант,"100 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-консультант (м. Новочеркасская),"60 000 – 87 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,87000.0,73500.0
Менеджер по продажам,"70 000 – 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,70000.0,130000.0,100000.0
Бухгалтер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-кассир,"61 525 – 71 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,61525.0,71000.0,66262.5
Консультант по банковским продуктам,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Руководитель отдела продаж электрораспределительного оборудования 0.4-35кВ (Санкт-Петербург),"120 000 – 500 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,120000.0,500000.0,310000.0
"Бариста (м. Озерки, м. Проспект Просвещения)","55 000 – 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,55000.0,70000.0,62500.0
Продавец-консультант (м. Комендантский пр-кт/м. Пионерская),"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Продавец-консультант (м. Приморская/м. Василеостровская),"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,60000.0,60000.0
Продавец-консультант в зоомагазин,"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Менеджер отдела контроля качества,"50 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,50000.0,80000.0,65000.0
Бизнес-ассистент,"60 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,60000.0,80000.0,70000.0
"Менеджер по развитию продаж и расширению клиентской базы (Электрика, сантехника, вентиляция)","60 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,60000.0,120000.0,90000.0
"Менеджер по развитию продаж и расширению клиентской базы (Электрика, сантехника, вентиляция)","60 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,60000.0,120000.0,90000.0
Инженер технического надзора (каркасные дома),"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-кассир,"60 000 – 90 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,90000.0,75000.0
Менеджер по продажам в сфере промышленной роботизации и автоматизации,"от 150 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,150000.0,150000.0
Заправщик АЗС,"65 000 – 78 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,65000.0,78000.0,71500.0
Продавец-кассир АЗС,"67 000 – 91 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,67000.0,91000.0,79000.0
Менеджер по маркетингу и PR,"от 65 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,65000.0,65000.0,65000.0
Технолог / Специалист по производству индустриальных ЛКМ,"150 000 – 250 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Санкт-Петербург,150000.0,250000.0,200000.0
Казначей (ВЭД),"90 000 – 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,90000.0,100000.0,95000.0
Оператор call-центра / Менеджер по работе с клиентами (без продаж),"45 000 – 55 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,45000.0,55000.0,50000.0
Инструктор,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,70000.0,70000.0,70000.0
Специалист отдела рекламы,"от 89 800 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,89800.0,89800.0,89800.0
Менеджер по продажам,"140 000 – 230 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,140000.0,230000.0,185000.0
Консультант по продуктам банка,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Менеджер по персоналу,"от 60 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,60000.0,60000.0,60000.0
Главный инженер проектов (ГИП),"120 000 – 200 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,120000.0,200000.0,160000.0
Продавец-кассир (м. Василеостровская),"65 000 – 82 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,65000.0,82000.0,73500.0
Tech Lead / DevOps / CTO,"от 300 000 ₽ за месяц, до вычета налогов",Опыт более 6 лет,На месте работодателя,Санкт-Петербург,300000.0,300000.0,300000.0
Главный бухгалтер,"130 000 – 150 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Санкт-Петербург,130000.0,150000.0,140000.0
Менеджер по продажам (запись на вводный урок),"60 000 – 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,60000.0,100000.0,80000.0
Специалист по качеству и пищевой безопасности,"от 103 500 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,103500.0,103500.0,103500.0
Старший ревизор,"от 104 550 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,104550.0,104550.0,104550.0
Администратор,"от 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,80000.0,80000.0,80000.0
Менеджер по продажам услуг консалтинга,"150 000 – 270 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,270000.0,210000.0
Специалист по разметке контекстной рекламы,"от 16 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Санкт-Петербург,16000.0,16000.0,16000.0
Менеджер по продажам B2B,"150 000 – 300 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,300000.0,225000.0
Продавец-консультант (м. Парнас / м. пр-кт Просвещения),"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Ассистент врача-стоматолога,"70 000 – 130 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,70000.0,130000.0,100000.0
Консультант в Т-Банк,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Кладовщик (м. Проспект Просвещения),"от 73 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,73000.0,73000.0,73000.0
Комплектовщик / кладовщик,"от 75 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,75000.0,75000.0,75000.0
Менеджер по заказам с сайта,"46 000 – 60 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,46000.0,60000.0,53000.0
Консультант T-Банка,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Слесарь-сварщик,"от 125 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,125000.0,125000.0,125000.0
Медицинская сестра/Медицинский брат/ Ассистент врача-стоматолога (ст.м. Пионерская),"от 88 500 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,88500.0,88500.0,88500.0
"Менеджер по продажам / Sales manager (ENG, Swedish, Finnish)","130 000 – 500 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,130000.0,500000.0,315000.0
Продавец-консультант (м. Новочеркасская),"60 000 – 87 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,87000.0,73500.0
Менеджер по продажам,"70 000 – 130 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,70000.0,130000.0,100000.0
Бухгалтер,"от 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-кассир,"61 525 – 71 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,61525.0,71000.0,66262.5
Консультант по банковским продуктам,"от 55 500 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Санкт-Петербург,55500.0,55500.0,55500.0
Руководитель отдела продаж электрораспределительного оборудования 0.4-35кВ (Санкт-Петербург),"120 000 – 500 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,120000.0,500000.0,310000.0
"Бариста (м. Озерки, м. Проспект Просвещения)","55 000 – 70 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,55000.0,70000.0,62500.0
Продавец-консультант (м. Комендантский пр-кт/м. Пионерская),"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Продавец-консультант (м. Приморская/м. Василеостровская),"от 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,60000.0,60000.0
Продавец-консультант в зоомагазин,"от 53 300 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,53300.0,53300.0,53300.0
Менеджер отдела контроля качества,"50 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,50000.0,80000.0,65000.0
Бизнес-ассистент,"60 000 – 80 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,Санкт-Петербург,60000.0,80000.0,70000.0
Начинающий инженер/Помощник инженера-проектировщика,"75 000 – 85 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,75000.0,85000.0,80000.0
Инженер технического надзора (каркасные дома),"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,Можно удалённо,Санкт-Петербург,100000.0,100000.0,100000.0
Инженер технического надзора (каркасные дома),"от 100 000 ₽ за месяц, на руки",Опыт 3-6 лет,На месте работодателя,Санкт-Петербург,100000.0,100000.0,100000.0
Продавец-кассир,"60 000 – 90 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,90000.0,75000.0
Бариста в сеть бабл ти кафе,"60 000 – 85 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Санкт-Петербург,60000.0,85000.0,72500.0
Товаровед на склад Пятерочки и Перекрестка,"80 000 – 82 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,80000.0,82000.0,81000.0
Менеджер по продажам в сфере промышленной роботизации и автоматизации,"от 150 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Санкт-Петербург,150000.0,150000.0,150000.0
Заправщик АЗС,"65 000 – 78 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,65000.0,78000.0,71500.0
Продавец-кассир АЗС,"67 000 – 91 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Санкт-Петербург,67000.0,91000.0,79000.0
